category,storename,type,address,lot_address,postal_code,latitude,longitude,images
강남역 공원,역삼문화 휴가든,자연공원,서울 강남구 테헤란로7길 21,역삼동 635-1,06130,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA1MDJfMjU4%2FMDAxNzE0NjIzNTMzMDU3.3Ib_SHrpVyH8wI-ddYg99p6QBDSCJX4ZApJCsMojnkIg.k1RLy2jxuOSrB6H97tfzMeM5dv0FWPjkUOx9HXELEJ0g.JPEG%2F85E9CF70-6E3D-4AFC-8416-72C0EAF37B3A.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA3MDFfMTg5%2FMDAxNzE5ODMwMTkzOTIw.uwmrgpRizopg-a6doYBiRlTd-usyh8mZ3f_S9w06OFog.exIZ3tD1IxOvFcVW7EsC--LHOMsyw5Y6TtO1ydWqq4Eg.JPEG%2F5869C692-3B0A-427E-A8F9-BB9704D54A99.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA0MDJfMTkw%2FMDAxNzEyMDE5MDg2NDEw.Gjnv7OqQx5Enbb5prw1sd7osd7RLAsOvVXbZgtAzugcg.o_UjP2GyvIFUq06p4lSrDHUTpKRn3Poe_HfyEX6bY08g.JPEG%2FFEF74CC7-8886-4C17-A6ED-0A616D538B9B.jpeg""]"
강남역 공원,역삼까치공원,근린공원,서울 강남구 역삼동 824-10,서울 강남구 역삼동 824-10,135080,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F37670902%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340091533%26md%3DBvz2n5GuEsW3m%252FHtlL2sb5PVgew%253D""]"
강남역 공원,역삼문화공원,"도시,테마공원",서울 강남구 테헤란로7길 21 국립어린이청소년도서관,역삼동 635-1,06130,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDAyMDhfMjc4%2FMDAxNzA3Mzc0MzMzNDAx.b1pAn1l731tVYFn5ej9UsGqyBTyFBKtFMgAfa2vbtzYg.hP01Eq-qwNonsfBQQ-6XA0Gz-vM1Efsl4DSu_CNdDqAg.JPEG%2F20240208_153752.jpg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDAyMDFfMjkg%2FMDAxNzA2NzQ4ODMwMDU3.uw77zx294N55EXf3mfP7Bf2L0V9bvjMfyrS6e6x3I6Ag.lHd1kS2n2mlVw2-Bqe_EZeKjUMkxWmrMkes2DAaRNAUg.JPEG%2F8CB8D24F-9494-4513-8D4C-CEC74A5539F4.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzEwMjBfMTIg%2FMDAxNjk3Nzg1MTIzOTE0.qrpLrGDddK6k4XrnENIDpsgWfcnsVdwziUMBu2v_bsQg.6_WR-gJqM0pMSEXSJNTmiftZex3fARwVgJNo-PK9HAwg.JPEG%2F4608BBAB-A629-4BAF-B6E2-6E69DC8CFDF9.jpeg""]"
강남역 공원,역삼무궁화공원,근린공원,서울 강남구 역삼로 117,역삼동 830-23,06243,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA0MThfMTkw%2FMDAxNzEzNDQ1MDMzNzE2.UBRYh0CA_bbCxz8Eud9EQJDhEER2FrtL_z1nqvW_ce0g.Hwt5QD7F4abs-iEguhh0fm06QGezpgFK3efv9mJDWPkg.JPEG%2F20240405_100337.jpg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA1MjhfMTEz%2FMDAxNzE2ODU1OTkxMTUx.USHCzcDKcGIxEECHxiCuHI3-NdaljPrFg14pZgY-wwcg.R8MvCYTXChi4lyPgsjXH1OtQzd75x6kHTQ80VYOpX3Ug.JPEG%2F20240519_102524.jpg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA1MjhfMTYw%2FMDAxNzE2ODU1OTkwNTAw.hSQ4G3VX-5_sN7v8bzo31sB34ItEGJ5b_epxL7H7ckgg.wrZ1t27GmmBVBW6QoXFKd1qDwlj5MTCTNaTHt1Lurucg.JPEG%2F20240519_102520.jpg.jpg""]"
강남역 공원,명달공원,근린공원,서울 서초구 서운로21길 14,서초동 1313-18,06617,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDAxMThfMjUw%2FMDAxNzA1NTcxOTQxODgz.2LIDxsPGI-Mn6EgCHtsKtKSpjY2jKi1KXVeBzPEIqIMg.PAWfXp7tMqmI_Dj1q1XbQE0BGhpm6aYNhxc2jD9Lj5cg.JPEG%2F20240112_152307.jpg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA3MDZfMTYg%2FMDAxNzIwMjQ2NzM3MTk0.9TCVehon2y4_W4Rhfs3l9izFsYZeffKg-BU6nidF7zMg.rdI4236GW5BaS8Tdf7xNeEJ3Hoc_15hQLBcY0hIcN78g.JPEG%2F20240704_144600.jpg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA0MzBfMjIy%2FMDAxNzE0NDA3MTc2Mzc0.KZJZRD6YA3SQ5wu_GCnKiXtmciu3lV1ZAes_7DQkd4wg.YIGX9DUA_Y3jk8686-J5uf45_-2YwSDN95utsm0_jPMg.JPEG%2F79C141F0-EBA5-422A-BCBB-9985376BCF8D.jpeg""]"
강남역 공원,용허리근린공원,근린공원,서울 서초구 서초동 1324-1,서울 서초구 서초동 1324-1,137070,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38448598%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340123212%26md%3DP2KtGMglmZSRQ6rZbJhF7OI8sDw%253D""]"
강남역 공원,은행나무공원,근린공원,서울 강남구 역삼동 611,서울 강남구 역삼동 611,135080,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200204_31%2F1580790364291CY1uu_JPEG%2Flvxo5VemO1MBGKLIKhdoqpwE.jpg""]"
강남역 공원,무궁화공원,근린공원,서울 강남구 논현동 205-7,서울 강남구 논현동 205-7,135010,37.5123018,127.0294935,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F31401416%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340138022%26md%3DRDMu0m4QJdWfyZLQrRp355rcCF8%253D""]"
강남역 공원,역삼소나무공원,근린공원,서울 강남구 역삼동 836-21,서울 강남구 역삼동 836-21,135080,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200701_15%2F15935980777615LIAG_JPEG%2FtpJ0UqSsQ5tzuykKXqSW4lev.jpeg.jpg""]"
강남역 공원,역삼개나리공원,근린공원,서울 강남구 논현로79길 24,역삼동 739-15,06237,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA1MDZfMjE3%2FMDAxNTg4NzczODM2NTUy.iJsoJRdM_13xNwenjMCRu_6_qnlORzDxfyhmumzLNXAg.Kvytia-Qqyo_NnuAqNxiUqM1Y2dE8tor4Yy7dNmGsuwg.JPEG.jhj8637%2F20200506_170123.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA1MTFfODIg%2FMDAxNTg5MjA1NTYzNDQ4.pH9v-f36Y9oWaTdbixcFfLmplz-uuItvxez13UuC3fEg.AES2xTJGAQYngzWQPx6ffu8FPAAYZyJUf99kFMzAJ2Ug.JPEG.jhj8637%2F20200508_173153.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA1MDZfMTU1%2FMDAxNTg4NzczODM4MDE0.3x8eebD9h-PgAfKJ2CuCiu9Kq9DC8j0M1ocKKcePVQog.vnL9cYFaomSx7BM6Fh0Go87w9-zC2yRsyMHsUuq7RBEg.JPEG.jhj8637%2F20200506_165946.jpg""]"
