category,storename,type,address,lot_address,postal_code,rating,latitude,longitude,images,hours,menu
강남역 술집,서울주막 강남역본점,요리주점,서울 서초구 서초대로73길 42 지하1층,서초동 1308-26,06612,4.56,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240327_257%2F17115324579935AXfM_PNG%2F3.png"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240718_47%2F1721311641317WVzX0_JPEG%2FKakaoTalk_20240718_221223960_02.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240822_224%2F1724330000417JYKPp_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25BB%25E7%25C0%25CC%25C1%25EE%25BC%25F6%25C1%25A41.jpg""]","{""토"": [""15:00 - 05:00""], ""일"": [""15:00 - 03:00""], ""월"": [""15:00 - 03:00""], ""화"": [""15:00 - 03:00""], ""수"": [""15:00 - 03:00""], ""목"": [""15:00 - 03:00""], ""금"": [""15:00 - 05:00"", ""접기"", ""영업시간 수정 제안하기""]}","""수제페스츄리피자 (19,800)\n파스타 (18,800)\n차돌숙주볶음 (20,900)\n감바스 (22,400)"""
강남역 술집,파티플레이 뮤직타운 강남역점,요리주점,서울 서초구 서초대로77길 37 지하1층,서초동 1308-10,06612,4.56,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231118_288%2F1700307778515Wm93N_JPEG%2F1000004861.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231118_274%2F1700307775232ISEl1_JPEG%2F1000004789.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231118_289%2F1700307775595vI930_JPEG%2F1000004786.jpg""]","{""대체 정보"": ""매일\n18:00 - 10:00""}","""예약이벤트 (30,000)\nE타입(일반룸) (30,000)\nA타입(일반룸) (30,000)\nB타입(일반룸) (30,000)"""
강남역 술집,7번방 강남점,요리주점,서울 서초구 서초대로77길 43 경원빌딩,서초동 1308-5,06612,4.56,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221223_164%2F1671783439233MfrTI_JPEG%2FKakaoTalk_20221223_161700040_08.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230723_218%2F16901117161862gL7s_JPEG%2FKakaoTalk_20230718_174246221_19.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221223_190%2F1671783439775kYfv2_JPEG%2FKakaoTalk_20221223_161700040_10.jpg""]","{""대체 정보"": ""매일\n15:00 - 09:00""}","""뉴욕스테이크 (22,900)\n치즈닭갈비&주먹밥 (22,900)\n두부삼겹김치 (21,900)\n순살치킨&골뱅이 (25,900)"""
강남역 술집,응야끼도리 강남점,요리주점,서울 서초구 서초대로77길 43 경원빌딩,서초동 1308-5,06612,4.56,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240422_12%2F1713793980097UXRWi_JPEG%2Fsq9j9t6mk7_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240507_83%2F1715071293744HprMm_JPEG%2FKakaoTalk_20240503_152541987_05.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240507_287%2F1715071293646K0ERm_JPEG%2FKakaoTalk_20240503_152541987_06.jpg""]","{""토"": [""15:00 - 07:00""], ""일"": [""15:00 - 06:00""], ""월"": [""15:30 - 05:00""], ""화"": [""15:30 - 05:00""], ""수"": [""15:30 - 05:00""], ""목"": [""15:30 - 06:00""], ""금"": [""15:00 - 07:00"", ""- 연중무휴"", ""접기"", ""영업시간 수정 제안하기""]}","""정보 없음"""
강남역 술집,강남77,"맥주,호프",서울 서초구 서초대로77길 31,서초동 1308-13,06612,4.36,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230705_272%2F1688519966283G0o2N_JPEG%2F230628_%25B0%25AD%25B3%25B277%2528%25C3%25D4%25BF%25B5%2529_53.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230705_296%2F1688520011449dTNK7_JPEG%2F230628_%25B0%25AD%25B3%25B277%2528%25C3%25D4%25BF%25B5%2529_47.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230705_202%2F1688519970920j1vyz_JPEG%2F230628_%25B0%25AD%25B3%25B277%2528%25C3%25D4%25BF%25B5%2529_90.jpg""]","{""대체 정보"": ""매일\n15:00 - 09:00""}","""돈까스핫도그떡볶이 (14,900)\n로제빠네치킨 (16,900)\n바베큐무뼈닭발 (17,900)\n얼큰한닭도리탕 (20,900)"""
강남역 술집,랜돌프비어 강남점,"맥주,호프",서울 서초구 강남대로65길 9 지하,서초동 1307-16,06614,4.36,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20241016_10%2F1729080463527morPY_JPEG%2Fbcbg1cjCjE_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240909_3%2F1725827575462DOTqC_JPEG%2FFunPic_20240909_052854100.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240901_254%2F17252025893655wait_PNG%2F%25C3%25DF%25BC%25AE_%25C0%25CC%25BA%25A5%25C6%25AE_%25C6%25F7%25BD%25BA%25C5%25CD.PNG""]","{""토"": [""14:00 - 04:00""], ""일"": [""15:00 - 03:00""], ""월"": [""15:00 - 03:00""], ""화"": [""15:00 - 03:00""], ""수"": [""15:00 - 03:00""], ""목"": [""15:00 - 03:00""], ""금"": [""14:00 - 04:00"", ""접기"", ""영업시간 수정 제안하기""]}","""수제 생맥주 2잔 세트메뉴 👍 👍 (29,900)\n4인 생맥주 세트 ❤️ ❤️ (49,900)\n꽃 페페로니 피자 😊 (21,900)\n골든에일 (맛있다) (5,500)"""
강남역 술집,엠투포차 강남역점,요리주점,서울 강남구 테헤란로1길 28-5 지상1층,역삼동 817-3,06129,4.88,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240907_250%2F1725684331741XQthN_JPEG%2F1000033624.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230822_292%2F1692694234053yRP9D_JPEG%2F20230803_172243.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240907_283%2F1725684331720va3rA_JPEG%2F1000033625.jpg""]","{""대체 정보"": ""매일\n15:00 - 07:00""}","""산더미생물백합조개탕 (20,000)\n직화차돌김치찌개 (18,000)\n직화차돌숙주볶음 (18,000)\n불맛가득백짬뽕탕 (20,000)"""
강남역 술집,디엠룸술집 강남점,요리주점,서울 서초구 서초대로77길 58,서초동 1303-36,06611,4.88,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240719_169%2F1721366292300Ej1KA_JPEG%2F%25B5%25F0%25BF%25A51.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240517_149%2F1715910467847aJV76_JPEG%2FKakaoTalk_20240513_141934807_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240517_212%2F1715910468390evLAM_JPEG%2FKakaoTalk_20240513_141934807_10.jpg""]","{""대체 정보"": ""매일\n00:00 - 24:00""}","""매콤 나가사끼 짬뽕 (27,900)\n후라이드치킨 (27,900)\n해물짬뽕탕 (28,800)\n깐쇼새우 (28,800)"""
강남역 술집,소보키 강남점,요리주점,서울 강남구 봉은사로18길 80 1층,역삼동 619-23,06129,4.88,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230324_39%2F16796176680234sFU9_JPEG%2FIMG_2983_jpg.JPG"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230310_297%2F1678426058937JW0NF_JPEG%2F094A8851.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240703_252%2F17199751076569L9tV_JPEG%2FKakaoTalk_20230509_105106192_14.jpg""]","{""대체 정보"": ""매일\n11:30 - 24:00\n14:00 - 15:00 브레이크타임\n23:00 라스트오더""}","""미나리 누룽지 닭전골 (31,000)\n차돌마라전골 (31,000)\n고추장 등갈비구이 (35,000)\n칼집 돼지갈비 (28,000)"""
강남역 술집,수지상회 강남1호점,요리주점,서울 강남구 테헤란로1길 17 2층,역삼동 820-2,06134,4.88,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230217_60%2F16766302833372cWFz_JPEG%2F1676630193077.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230217_11%2F1676630284761TE5Km_JPEG%2F1676630193493.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230217_252%2F1676630283132h1nzz_JPEG%2F1676630193046.jpg""]","{""대체 정보"": ""매일\n16:00 - 05:00""}","""수지닭볶음탕 (26,900)\n수지학센플레터 (31,900)\n수지양지수육한판 (29,900)\n수지항정수육한판 (29,900)"""
