category,storename,type,address,lot_address,postal_code,rating,latitude,longitude,images,hours,menu
강남역 음식집,춘천한옥집,한식,서울 강남구 강남대로102길 29 지하1층,역삼동 617-3,06124,4.36,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240719_38%2F1721364854404ltxYV_JPEG%2FIMG_7235.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240820_11%2F1724148581920Y2pAb_JPEG%2F2%25B9%25F8%25C2%25B0.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240806_98%2F1722918522198rT2pJ_JPEG%2F%25B5%25CE%25B9%25F8%25C2%25B0.jpg""]","{""일"": [""11:30 - 22:00"", ""21:00 라스트오더""], ""월"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""화"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""수"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""목"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""금"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""토"": [""11:30 - 22:00"", ""21:00 라스트오더"", ""- last order - pm 9 : 00"", ""접기""]}","""치즈닭갈비 (14,000)\n가래떡치즈닭갈비 (16,000)\n닭갈비 (12,000)\n수제生감자채전(한정판매) (9,000)"""
강남역 음식집,육미당 몽산,"육류,고기요리",서울 강남구 강남대로96길 15 2층,역삼동 817-18,,4.36,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240705_138%2F17201596794298Vt0F_JPEG%2FBCuKwpcewF_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231204_70%2F17016238772264hML9_JPEG%2F1701622464940.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231204_53%2F1701623877338YIa6z_JPEG%2F1701622465028.jpg""]","{""일"": [""13:00 - 23:00"", ""22:30 라스트오더""], ""월"": [""17:00 - 23:00"", ""22:30 라스트오더""], ""화"": [""13:00 - 23:00"", ""22:30 라스트오더""], ""수"": [""13:00 - 23:00"", ""22:30 라스트오더""], ""목"": [""13:00 - 23:00"", ""22:30 라스트오더""], ""금"": [""13:00 - 23:00"", ""22:30 라스트오더""], ""토"": [""13:00 - 23:00"", ""22:30 라스트오더"", ""접기""]}","""육즙 콸콸 소갈비살 세트 (69,900)\n한판이면 됐소~ 소고기 3종 세트 (77,900)\n한판이면 돼지~ 한돈 3종 세트 (69,900)\n우리가족 배터져요 패밀리세트 (99,900)"""
강남역 음식집,다몽집 신논현본점,"육류,고기요리",서울 강남구 강남대로100길 13 지하1층/2층 다몽집,역삼동 619-5,06128,4.68,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230519_12%2F1684490263989xYJaF_JPEG%2FSmartSelect_20230514_235616_Instagram.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230519_294%2F168449026423720K7p_JPEG%2FSmartSelect_20230515_000429_Instagram.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230301_115%2F1677655798092PddnA_JPEG%2FSmartSelect_20221221-094913_Instagram.jpg""]","{""일"": [""12:00 - 23:00"", ""22:55 라스트오더""], ""월"": [""15:30 - 23:00"", ""22:55 라스트오더""], ""화"": [""15:30 - 23:00"", ""22:55 라스트오더""], ""수"": [""15:30 - 23:00"", ""22:55 라스트오더""], ""목"": [""15:30 - 23:00"", ""22:55 라스트오더""], ""금"": [""15:30 - 23:00"", ""22:55 라스트오더""], ""토"": [""12:00 - 23:00"", ""22:55 라스트오더"", ""접기""]}","""연목살(170g) (17,000)\n할머니된장찌개 (9,000)\n트러플 육회 (1++한우) (23,000)\n치즈 폭탄 감자 볶음밥 (9,000)"""
강남역 음식집,화설 산장강남역점,소고기구이,서울 서초구 서초대로73길 38 1층,서초동 1308-24,06612,4.68,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240515_99%2F1715774907308879Ij_JPEG%2FYgfbPGANyb_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240111_271%2F1704904110233NBm3p_JPEG%2FKakaoTalk_20240111_012601351_23.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241007_9%2F1728289852469YkvC1_JPEG%2FKakaoTalk_20241003_145238625_01.jpg""]","{""대체 정보"": ""매일\n11:30 - 23:00\n15:00 - 17:00 브레이크타임""}","""화설 눈꽃살 (28,000)\n화설 모둠세트 (89,000)\n화설 꽃등심 한우1++ (49,000)\n화설등심 (27,000)"""
강남역 음식집,고기꾼김춘배 강남점,돼지고기구이,"서울 강남구 강남대로100길 13 3층, 4층",역삼동 619-5,06128,4.47,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190627_287%2F1561622377587sGqjk_JPEG%2FlbGsn2ydiWF4KKcq05N3m-dD.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221111_76%2F1668109336004B3js7_JPEG%2F%25B5%25C5%25C1%25F6%25C7%25D1%25BB%25F32.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221111_33%2F1668109353961UlaYp_JPEG%2F%25C3%25E1%25B9%25E8%25C7%25D1%25BB%25F3.jpg""]","{""대체 정보"": ""매일\n13:00 - 22:30\n21:30 라스트오더""}","""국내산生갈비살 200g (16,000)\n고기꾼 세트 (69,000)\n국내산生오겹살 180g (17,000)\n국내산生목살 180g (16,000)"""
강남역 음식집,빨간의자집 강남역점,"육류,고기요리",서울 강남구 테헤란로1길 28-13 1층 빨간의자집 강남역점,역삼동 817-28,06129,4.47,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240216_130%2F1708059142177C15Yd_JPEG%2FKakaoTalk_20240124_181913318_15.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240125_56%2F17061649267625db78_JPEG%2FKakaoTalk_20240124_181913318_23.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240130_41%2F1706600132444KKa9v_JPEG%2FKakaoTalk_20240130_135902926_02.jpg""]","{""일"": [""12:00 - 23:00"", ""22:00 라스트오더""], ""월"": [""11:00 - 23:00"", ""14:30 - 16:00 브레이크타임"", ""22:00 라스트오더""], ""화"": [""11:00 - 23:00"", ""14:30 - 16:00 브레이크타임"", ""22:00 라스트오더""], ""수"": [""11:00 - 23:00"", ""14:30 - 16:00 브레이크타임"", ""22:00 라스트오더""], ""목"": [""11:00 - 23:00"", ""14:30 - 16:00 브레이크타임"", ""22:00 라스트오더""], ""금"": [""11:00 - 23:00"", ""14:30 - 16:00 브레이크타임"", ""22:00 라스트오더""], ""토"": [""12:00 - 23:00"", ""22:00 라스트오더"", ""접기""]}","""1판 세트 800g(2인)대표 (79,000원)\n1.5판 세트 1.2Kg(3인)대표 (118,500원)\n2판 세트 1.6kg(4인)대표 (158,000원)\n(점심특선)쌈밥정식대표 (12,000원)"""
강남역 음식집,육미안 강남점,소고기구이,서울 강남구 강남대로106길 9 1층,역삼동 810-9,06123,4.47,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230922_18%2F169539432878513uOD_JPEG%2F340188816_1402385843915248_3457316491443706364_n.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230922_56%2F1695394328811AYVvi_JPEG%2F315940580_596721502208189_7622762615213332008_n.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231117_244%2F17001970474153ECgX_JPEG%2FSmartSelect_20231117_134257_Instagram.jpg""]","{""일"": [""12:00 - 23:00"", ""22:30 라스트오더""], ""월"": [""15:30 - 23:00"", ""22:30 라스트오더""], ""화"": [""15:30 - 23:00"", ""22:30 라스트오더""], ""수"": [""15:30 - 23:00"", ""22:30 라스트오더""], ""목"": [""15:30 - 23:00"", ""22:30 라스트오더""], ""금"": [""15:30 - 23:00"", ""22:30 라스트오더""], ""토"": [""12:00 - 23:00"", ""22:30 라스트오더"", ""- 추석 당일 17일 휴무 입니다."", ""접기""]}","""특제황제갈비(200g) (24,000)\n\""한우\"" 육회❤️김밥전 (23,000)\n치즈폭탄본갈비볶음밥 (11,000)\n스키야끼우동 (10,000)"""
강남역 음식집,장인닭갈비 강남점,닭갈비,서울 강남구 테헤란로1길 19,역삼동 820-1,06134,4.47,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240305_292%2F1709622236251sQwId_JPEG%2FKakaoTalk_20240305_154931729.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240305_275%2F1709622236503eKwyX_JPEG%2FKakaoTalk_20240305_154931729_01.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240305_169%2F1709622237351cNNvz_JPEG%2FKakaoTalk_20240305_154931729_02.jpg""]","{""대체 정보"": ""매일\n11:00 - 24:00""}","""장인 닭갈비 (12,000)\n치즈 닭갈비 (14,000)\n장인볶음밥(김치+날치알) (3,000)\n날치알볶음밥 (2,500)"""
강남역 음식집,육품,돼지고기구이,서울 서초구 강남대로65길 12 2층 육품,서초동 1308-16,06612,4.42,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241001_5%2F17277094943762IpAU_JPEG%2FKakaoTalk_20240930_235102331_28.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241001_23%2F1727708412212OtlLC_JPEG%2FKakaoTalk_20240930_235027234_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241002_165%2F1727843152449ppg31_JPEG%2FKakaoTalk_20241001_145936031.jpg""]","{""일"": [""15:00 - 22:30""], ""월"": [""16:00 - 22:30""], ""화"": [""16:00 - 22:30""], ""수"": [""16:00 - 22:30""], ""목"": [""16:00 - 22:30""], ""금"": [""16:00 - 22:30""], ""토"": [""15:00 - 22:30"", ""접기""]}","""육품삽결살 (17,000)\n육품목살 (17,000)\n이베리코베요타목살 (19,000)\n육품껍데기항정살 (20,000)"""
강남역 음식집,청기와타운 강남점,"육류,고기요리",서울 강남구 강남대로78길 8 1층,역삼동 831-3,06242,4.42,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230504_79%2F1683186215937udta9_JPEG%2F230419_%25B1%25A4%25BE%25C8%25B8%25AE_%25C7%25F6%25BC%25F6%25B8%25B7_%25B4%25EB%25C1%25F6_1.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230504_248%2F1683186354266OxLu6_PNG%2F%25BC%25F6%25BF%25F8%25BF%25D5%25B0%25A5%25BA%25F1_.png"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230504_164%2F1683186216322UBW9K_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25BF%25B9%25BE%25E0%25BD%25E6%25B3%25D7%25C0%25CF_1.jpg""]","{""일"": [""11:15 - 22:00""], ""월"": [""11:15 - 22:00""], ""화"": [""11:15 - 22:00""], ""수"": [""11:15 - 22:00""], ""목"": [""11:15 - 22:00""], ""금"": [""11:15 - 22:00""], ""토"": [""11:15 - 22:00"", ""- 연중무휴/브레이크타임없음"", ""접기""]}","""수원왕갈비 (29,000)\n육회(배/아보카도/트러플) (28,000)\n양곰탕 (14,000)\n생갈비 (36,000)"""
