category,storename,type,address,lot_address,postal_code,rating,latitude,longitude,images,hours,menu
강남역 음식점,미도인 강남,양식,서울 강남구 강남대로102길 16 지상 1층,역삼동 619-3,06128,4.4,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20241104_59%2F1730707097289hjTOn_JPEG%2FvvmvwsW2Vp_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241104_131%2F1730693923826zsEjq_PNG%2F%25B0%25AD%25B3%25B2%25B8%25C0%25C1%25FD%25B0%25AD%25B3%25B2%25BF%25AA%25B8%25C0%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25B8%25C0%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25BF%25AA%25B8%25C0%25C1%25FD%25B0%25AD%25B3%25B2%25BD%25BA%25C5%25D7%25C0%25CC%25C5%25A9%25B0%25AD%25B3%25B2%25B5%25A4%25B9%25E4%25B0%25AD%25B3%25B2%25C6%25C4%25BD%25BA%25C5%25B8%25B0%25AD%25B3%25B2%25B6%25F3%25B8%25E0%25B0%25AD%25B3%25B2%25BC%25FA%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25BC%25FA%25C1%25FD%25B0%25AD%25B3%25B2%25B5%25A5%25C0%25CC%25C6%25AE%25B0%25AD%25B3%25B2%25C8%25A5%25B9%25E4_%25281%2529.png"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241104_201%2F1730693923476L36A9_JPEG%2F%25B0%25AD%25B3%25B2%25B8%25C0%25C1%25FD%25B0%25AD%25B3%25B2%25BF%25AA%25B8%25C0%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25B8%25C0%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25BF%25AA%25B8%25C0%25C1%25FD%25B0%25AD%25B3%25B2%25BD%25BA%25C5%25D7%25C0%25CC%25C5%25A9%25B0%25AD%25B3%25B2%25B5%25A4%25B9%25E4%25B0%25AD%25B3%25B2%25C6%25C4%25BD%25BA%25C5%25B8%25B0%25AD%25B3%25B2%25B6%25F3%25B8%25E0%25B0%25AD%25B3%25B2%25BC%25FA%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25BC%25FA%25C1%25FD%25B0%25AD%25B3%25B2%25B5%25A5%25C0%25CC%25C6%25AE%25B0%25AD%25B3%25B2%25C8%25A5%25B9%25E4_%252810%2529.jpg""]","{""대체 정보"": ""매일\n11:30 - 21:00""}","[""런치한정400 스테이크 덮밥 16800"", ""미도인 스테이크 덮밥 10800"", ""청두 사천 탄탄멘 9300"", ""미도인 우실장 떡볶이 9800""]"
강남역 음식점,을지다락 강남,양식,서울 강남구 강남대로96길 22 2층,역삼동 818-6,06129,4.53,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240920_40%2F1726792574994KnzQC_JPEG%2F46o3j90jLU_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240805_42%2F1722865488733ACQi0_JPEG%2FKakaoTalk_20240717_114454847.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240920_104%2F1726795305481QjwDL_JPEG%2F%25B4%25D9%25B8%25C5%25B0%25A1_%25C6%25ED%25C1%25FD%25BA%25BB_%25C3%25A4%25B5%25B5%25B8%25A6_%25BF%25C3%25B7%25C8%25B4%25D9_1%25B9%25F8%25BA%25B8%25B4%25D9%25B4%25C2_%25BE%25E0%25C7%25CF%25B0%25D4.jpg""]","{""목"": [""11:30 - 21:15"", ""15:10 - 16:30 브레이크타임"", ""14:25, 20:30 라스트오더""], ""금"": [""11:30 - 21:15"", ""15:10 - 16:30 브레이크타임"", ""14:25, 20:30 라스트오더""], ""토"": [""11:30 - 21:15"", ""20:30 라스트오더""], ""일"": [""11:30 - 21:15"", ""20:30 라스트오더""], ""월"": [""11:30 - 21:15"", ""15:10 - 16:30 브레이크타임"", ""14:25, 20:30 라스트오더""], ""화"": [""11:30 - 21:15"", ""15:10 - 16:30 브레이크타임"", ""14:25, 20:30 라스트오더""], ""수"": [""11:30 - 21:15"", ""15:10 - 16:30 브레이크타임"", ""14:25, 20:30 라스트오더"", ""- 평일 런치, 디너 라스트 오더 (14:30/20:30)"", ""접기"", ""영업시간 수정 제안하기""]}","[""다락오므라이스 16000"", ""다락로제파스타 18000"", ""찹목살스테이크 22000"", ""게살매콤리조또 18000""]"
강남역 음식점,고기꾼김춘배 강남점,돼지고기구이,"서울 강남구 강남대로100길 13 3층, 4층",역삼동 619-5,06128,4.47,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190627_287%2F1561622377587sGqjk_JPEG%2FlbGsn2ydiWF4KKcq05N3m-dD.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221111_76%2F1668109336004B3js7_JPEG%2F%25B5%25C5%25C1%25F6%25C7%25D1%25BB%25F32.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221111_33%2F1668109353961UlaYp_JPEG%2F%25C3%25E1%25B9%25E8%25C7%25D1%25BB%25F3.jpg""]","{""대체 정보"": ""매일\n13:00 - 22:30\n21:30 라스트오더""}","[""고기꾼2인 세트 69000"", ""고기꾼3인 세트 97000"", ""반반냉면 7000"", ""고기꾼4인 세트 139000""]"
강남역 음식점,자매수산,생선회,서울 강남구 봉은사로18길 90,역삼동 619-30,06129,4.29,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241004_65%2F1728015217871tn27B_PNG%2F2.png"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220723_5%2F16585481414510DuXg_JPEG%2F%25B8%25F0%25B5%25D2.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220723_235%2F1658548143244kB4nj_PNG%2F%25B8%25B7%25C8%25B8.PNG""]","{""목"": [""14:00 - 24:00"", ""23:00 라스트오더""], ""금"": [""14:00 - 24:00"", ""23:00 라스트오더""], ""토"": [""12:00 - 24:00"", ""23:00 라스트오더""], ""일"": [""12:00 - 24:00"", ""23:00 라스트오더""], ""월"": [""14:00 - 24:00"", ""23:00 라스트오더""], ""화"": [""14:00 - 24:00"", ""23:00 라스트오더""], ""수"": [""14:00 - 24:00"", ""23:00 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","[""자매 제철스페셜 59000"", ""실장추천 막썰어회 43000"", ""세꼬시 45000"", ""연어회 43000""]"
강남역 음식점,춘천한옥집,한식,서울 강남구 강남대로102길 29 지하1층,역삼동 617-3,06124,4.36,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240719_38%2F1721364854404ltxYV_JPEG%2FIMG_7235.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240820_11%2F1724148581920Y2pAb_JPEG%2F2%25B9%25F8%25C2%25B0.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240806_98%2F1722918522198rT2pJ_JPEG%2F%25B5%25CE%25B9%25F8%25C2%25B0.jpg""]","{""목"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""금"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""토"": [""11:30 - 22:00"", ""21:00 라스트오더""], ""일"": [""11:30 - 22:00"", ""21:00 라스트오더""], ""월"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""화"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""수"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더"", ""- last order - pm 9 : 00"", ""접기"", ""영업시간 수정 제안하기""]}","[""치즈닭갈비 14000"", ""가래떡치즈닭갈비 16000"", ""닭갈비 12000"", ""수제生감자채전한정판매 9000""]"
강남역 음식점,고베규카츠 서울 강남점,돈가스,서울 강남구 강남대로102길 29 예촌빌딩,역삼동 617-3,06124,0.0,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230329_68%2F1680084687137vl5A5_JPEG%2FKakaoTalk_20230329_174932601_02.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230329_35%2F1680084687170MvQ8r_JPEG%2FKakaoTalk_20230329_174932601_04.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230329_220%2F1680084687608JNn7D_JPEG%2FKakaoTalk_20230329_174932601_09.jpg""]","{""목"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""금"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""토"": [""11:30 - 22:00"", ""21:00 라스트오더""], ""일"": [""11:30 - 22:00"", ""21:00 라스트오더""], ""월"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""화"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더""], ""수"": [""11:30 - 22:00"", ""16:00 - 17:00 브레이크타임"", ""21:00 라스트오더"", ""- last order - pm 9 : 00"", ""접기"", ""영업시간 수정 제안하기""]}","[""규카츠 정식 소 160g 19000"", ""리얼치즈카츠정식 22000"", ""스테이크 덮밥 15000"", ""커리크림우동 14000""]"
강남역 음식점,남도애찬 강남본점,"육류,고기요리",서울 강남구 역삼로3길 8,역삼동 830-27,06243,4.37,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240803_27%2F1722673996681n5pen_JPEG%2F%25B9%25E9%25B3%25E2%25B0%25A1_50.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240803_299%2F1722673996564b6k5W_JPEG%2F%25B9%25E9%25B3%25E2%25B0%25A1_04.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231116_16%2F1700096510502cy6g4_PNG%2F20231116_100140.png""]","{""목"": [""10:00 - 22:00""], ""금"": [""10:00 - 22:00""], ""토"": [""10:00 - 22:00""], ""일"": [""10:00 - 22:00""], ""월"": [""10:00 - 22:00""], ""화"": [""10:00 - 22:00""], ""수"": [""10:00 - 22:00"", ""접기"", ""영업시간 수정 제안하기""]}","[""한우안창살 74000"", ""한우살치살 68000"", ""풍천장어양념구이 42000"", ""풍천장어소금장어 42000""]"
강남역 음식점,온센 강남점,일식당,서울 서초구 서초대로73길 42 리가스퀘어 1층 111호,서초동 1308-26,06612,4.35,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20241017_162%2F172909084885437OdI_JPEG%2FGgCyAqOQew_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241016_252%2F17290906915403rJwN_JPEG%2FPBA_0090.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241016_197%2F1729090685007bd5TI_JPEG%2FPBA_0083.jpg""]","{""목"": [""10:00 - 22:00""], ""금"": [""10:00 - 22:00""], ""토"": [""10:00 - 22:00""], ""일"": [""10:00 - 22:00""], ""월"": [""10:00 - 22:00""], ""화"": [""10:00 - 22:00""], ""수"": [""10:00 - 22:00"", ""접기"", ""영업시간 수정 제안하기""]}","[""온센텐동 10900"", ""아나고텐동 16900"", ""에비텐동 14900"", ""가라아게텐동 15900""]"
강남역 음식점,이자카야나무 서초점,이자카야,서울 서초구 서초대로75길 23 지하1층~지상4층,서초동 1307-11,06614,4.43,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20241025_236%2F17298289331848eNjL_JPEG%2FelbWlBlpUR_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241102_269%2F1730558159851P1iRq_JPEG%2F4%25C3%25FE.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241104_204%2F1730707372189td4Mv_JPEG%2F%25BC%25AD%25C3%25CA%25C1%25A1_%25B4%25DC%25C3%25BC%25BC%25AE_%25C0%25DB%25BE%25F7.jpg""]","{""목"": [""10:00 - 22:00""], ""금"": [""10:00 - 22:00""], ""토"": [""10:00 - 22:00""], ""일"": [""10:00 - 22:00""], ""월"": [""10:00 - 22:00""], ""화"": [""10:00 - 22:00""], ""수"": [""10:00 - 22:00"", ""접기"", ""영업시간 수정 제안하기""]}","[""나무는 이벤트 중 41000"", ""광어연어 두가지 사시미 35000"", ""스페셜모둠초밥20pcs 28000"", ""투뿔 한우 타다끼 98000""]"
강남역 음식점,고귀한 식탁,한식,"서울 강남구 테헤란로 124 지하1층 B110-1호(, 삼원타워)",역삼동 823,06234,0.0,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211113_128%2F1636770270391XIAkd_PNG%2F%25B0%25ED%25B1%25CD%25C7%25D1_%25BD%25C4%25C5%25B9_%25B9%25E8%25B9%25CE_%25B5%25EE%25B7%25CF%25BF%25EB-2.PNG"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MTdfODkg%2FMDAxNjg0Mjg4ODA5MDQ2.h-0SNwyZpHvIeN9-C8RhlguDLsFDjnCDvhiZYrHtwmEg.n1lSEjfMuc74UOq_U1TkADYIVcpB3LzkRUB-unNShWIg.JPEG%2F20230514_132154.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA3MjBfMjg1%2FMDAxNjg5ODM2Njc0MTg2.7gI-uWIy_G3BBsKnmqh9Lzm_2J46SJ7sFqIZxuwHbw8g.y8EMv5VppHg_t004RMbJFdUlhmJpEw3Js1hYjKNR1XEg.JPEG%2F20230717_192132.jpg""]","{""목"": [""10:00 - 22:00""], ""금"": [""10:00 - 22:00""], ""토"": [""10:00 - 22:00""], ""일"": [""10:00 - 22:00""], ""월"": [""10:00 - 22:00""], ""화"": [""10:00 - 22:00""], ""수"": [""10:00 - 22:00"", ""접기"", ""영업시간 수정 제안하기""]}","[""미니강된장쌈밥우렁쌈밥만 15000"", ""미니강된장쌈밥우렁쌈밥시골청국장 25000"", ""미니강된장쌈밥우렁쌈밥대패삼겹 26000"", ""미니강된장쌈밥우렁쌈밥대패삼겹고기추가100g 30000""]"
