category,storename,type,address,lot_address,postal_code,rating,latitude,longitude,images,hours,menu
강남역 카페,더달달,초콜릿전문점,서울 강남구 강남대로102길 38-6,역삼동 618-7,06128,4.5,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230321_167%2F167939304653224q1I_JPEG%2F%25C3%25CA%25C4%25DA%25BA%25F9%25BC%25F6.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230321_91%2F1679393116878UMvN5_JPEG%2F%25BF%25CD%25C7%25C3.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230321_197%2F1679393053073cSeUT_JPEG%2F%25B5%25FE%25B1%25E2%25BA%25F9%25BC%25F6.jpg""]","{""대체 정보"": ""매일\n10:30 - 24:00""}","""달달 초코빙수 (15,000)\n달달 와플 (14,000)\n달달 핑크빙수 (16,000)\n달달 딸기빙수 (14,000)"""
강남역 카페,한과와락,"카페,디저트",서울 강남구 봉은사로4길 31-5,역삼동 812-6,06123,4.5,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241014_248%2F1728883338755zvNVx_JPEG%2F1000010684.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231214_144%2F17025355390363kqu5_JPEG%2F%25C0%25CC%25C5%25C2%25C8%25F1_%25C7%25D1%25B0%25FA%25BF%25CD%25B6%25F4_02.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231224_145%2F17033950224752vtSt_JPEG%2F%25B5%25FE%25B1%25E2%25C4%25C9%25C0%25CC%25C5%25A9.jpg""]","{""토"": [""12:00 - 22:00""], ""일"": [""12:00 - 22:00""], ""월"": [""12:00 - 22:00""], ""화"": [""12:00 - 22:00""], ""수"": [""12:00 - 22:00""], ""목"": [""12:00 - 22:00""], ""금"": [""12:00 - 22:00"", ""접기"", ""영업시간 수정 제안하기""]}","""개성주악 (2,500)\n개성약과 (3,300)\n와락크림라떼 (2,500)\n추석선물세트 (7,000)"""
강남역 카페,알베르,카페,서울 강남구 강남대로102길 34,역삼동 618-11,06128,4.38,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240609_145%2F1717913410863n9TCH_JPEG%2FS7JGceGVRO_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240609_189%2F1717914038325sKIQu_PNG%2Fhehh.PNG"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240609_89%2F1717914033455yxeST_JPEG%2FKakaoTalk_20240412_130941836_05.jpg""]","{""토"": [""12:00 - 22:00""], ""일"": [""12:00 - 22:00""], ""월"": [""12:00 - 22:00""], ""화"": [""12:00 - 22:00""], ""수"": [""12:00 - 22:00""], ""목"": [""12:00 - 22:00""], ""금"": [""12:00 - 22:00"", ""접기"", ""영업시간 수정 제안하기""]}","""알베르 시그니쳐 라떼 (8,000)\n티라미수 (7,000)\n아메리카노 (6,000)\n에스프레소 (5,000)"""
강남역 카페,에이비카페,카페,서울 강남구 강남대로102길 32,역삼동 618-15,06128,4.44,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231114_158%2F1699959126504u7DWl_JPEG%2Fabcafe.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231023_216%2F1698041248925hFCjS_PNG%2F1%25C8%25A3%25C1%25A1_23_1020_0.png"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230316_229%2F1678948694039es9LS_JPEG%2FKakaoTalk_20230316_153648616.jpg""]","{""대체 정보"": ""매일\n00:00 - 24:00\n08:00 - 09:00 브레이크타임""}","""데블스 쇼콜라 케이크 (8,500)\n딸기 라떼(심야할인) (6,000)\n순우유 케이크 (8,500)\n데블스 쇼콜라 케이크 (8,500)"""
강남역 카페,던킨 라이브 강남,도넛,서울 서초구 강남대로 373 홍우빌딩 1층,서초동 1328,06621,4.46,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210909_131%2F1631155339888lVkLC_JPEG%2FacZndlHJEYYzB5AY1uYFxZGc.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210909_252%2F1631154414153zAi7k_JPEG%2FJ39EJpT30YXp2_JWvf4poJ_t.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210909_119%2F1631154414131Jfxlu_JPEG%2FAQNZWk344p2DjPwK9Xnv1oFT.jpg""]","{""토"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""일"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""월"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""화"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""수"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""목"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""금"": [""11:00 - 22:00"", ""21:00 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","""약과선물세트(12개입) (4,500원)\n크림치즈(플레인) (1,100원)\n쿠키앤크림도넛 (3,700원)\n베리스트로베리 도넛 (2,900원)"""
강남역 카페,트리오드,"카페,디저트",서울 강남구 강남대로94길 28 유니언타운 L층,역삼동 649,06134,4.56,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240324_145%2F1711255383347DOibB_JPEG%2FIMG_1913.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231202_32%2F1701507275280u1C8d_JPEG%2FKakaoTalk_20231116_085940360_05.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230221_141%2F1676977488334IPv01_JPEG%2FKakaoTalk_20230221_195552593.jpg""]","{""토"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""일"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""월"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""화"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""수"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""목"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""금"": [""11:00 - 22:00"", ""21:00 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","""블루베리 케익그람 (5,800)\n레몬치즈 케익그람 (5,800)\n초코케익그람 (5,800)\n티라미수 케익그람 (5,500)"""
강남역 카페,정월,"카페,디저트",서울 강남구 강남대로102길 46 1층,역삼동 618-21,06128,4.46,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190510_203%2F1557479953024HXRbs_JPEG%2FYgCUkP5yKk_14_nnud0w0WyY.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190510_184%2F1557479983302xHv2Q_JPEG%2FZSuVsKJeJnfA-oRCPSVjiGKK.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190510_20%2F155747999586657qxu_JPEG%2FfX9-2Scp7OukrZKPdC0lUBv1.jpg""]","{""토"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""일"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""월"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""화"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""수"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""목"": [""11:00 - 22:00"", ""21:00 라스트오더""], ""금"": [""11:00 - 22:00"", ""21:00 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","""아인슈패너(water/milk) (7,500)\n말차 아인슈패너 (8,000)\n유자 프룻 티 에이드 (7,000)\n복숭아 프룻 티 에이드 (7,000)"""
강남역 카페,썸띵어바웃커피,"카페,디저트","서울 강남구 강남대로102길 30 1, 2, 3층",역삼동 618-16,06128,4.42,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200410_63%2F1586525835413cIJAS_JPEG%2FtgP2t6xLpFwDN_PCxDkLFXzU.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200410_103%2F15865007613020vCzW_JPEG%2FVY7Vs7dEYF-rs5NaDEl9fwCZ.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200406_60%2F1586151323739iaAVd_JPEG%2FF_3EgdszdZ-kMiXDJnQXSXci.jpeg.jpg""]","{""토"": [""11:00 - 24:00""], ""일"": [""11:00 - 24:00""], ""월"": [""11:00 - 24:00""], ""화"": [""11:00 - 24:00""], ""수"": [""11:00 - 24:00""], ""목"": [""11:00 - 24:00""], ""금"": [""11:00 - 24:00"", ""접기"", ""영업시간 수정 제안하기""]}","""아메리카노 (6,000)\n카페라떼 (6,800)\n바닐라/카라멜/헤이즐넛라떼 (7,000)\n치즈케이크 (8,900)"""
강남역 카페,장꼬방,빙수,서울 서초구 강남대로61길 27 1층,서초동 1316,06616,4.46,37.48818,127.01751,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150825_53%2F1440484362921Oj87z_JPEG%2F166775556259678_0.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150825_5%2F1440484363345zuEPr_JPEG%2F166775556259678_1.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150825_222%2F1440484363674JFSM4_JPEG%2F166775556259678_2.jpg""]","{""토"": [""09:00 - 22:00"", ""21:15 라스트오더""], ""일"": [""09:00 - 22:00"", ""21:15 라스트오더""], ""월"": [""09:00 - 22:00"", ""21:15 라스트오더""], ""화"": [""09:00 - 22:00"", ""21:15 라스트오더""], ""수"": [""09:00 - 22:00"", ""21:15 라스트오더""], ""목"": [""09:00 - 22:00"", ""21:15 라스트오더""], ""금"": [""09:00 - 22:00"", ""21:15 라스트오더"", ""- 구정 & 추석 명절 당일과 다음날 휴무"", ""접기"", ""영업시간 수정 제안하기""]}","""찹쌀떡(개당) (2,100)\n쑥찹쌀떡(개당) (2,500)\n팥빙수 (11,000)\n단팥죽 (9,000)"""
강남역 카페,레뽀드라라 강남점,카페,서울 강남구 테헤란로7길 22 2관 101호,역삼동 635-2,06130,4.46,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230912_184%2F16945114333647nTkb_JPEG%2FDSC05311.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230912_289%2F1694511431802kBa4p_JPEG%2FDSC05136.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240822_116%2F1724321941027foP2f_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5.jpg""]","{""토"": [""11:00 - 21:00"", ""20:30 라스트오더""], ""일"": [""11:00 - 20:00"", ""19:30 라스트오더""], ""월"": [""07:30 - 21:00"", ""20:30 라스트오더""], ""화"": [""07:30 - 21:00"", ""20:30 라스트오더""], ""수"": [""07:30 - 21:00"", ""20:30 라스트오더""], ""목"": [""07:30 - 21:00"", ""20:30 라스트오더""], ""금"": [""07:30 - 21:00"", ""20:30 라스트오더"", ""접기"", ""영업시간 수정 제안하기""]}","""티라미슈 스콘케이크 [조각]N (8,500원)\n레몬 바닐라 스콘케이크 [조각]N (8,500원)\n카페라떼인기 (5,000원)\n[GIFT SET] 콤비네이션 세트 no.1인기 (1,500원)"""
