category,storename,type,address,lot_address,postal_code,rating,latitude,longitude,images,hours,menu
논현역 카페,레자미오네뜨,베이커리,서울 강남구 학동로5길 5 1층,논현동 52-7,06044,0.0,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221114_243%2F1668379529420X5d3k_JPEG%2F%25B7%25B9%25C0%25DA%25B9%25CC%25BF%25C0%25B3%25D7%25B6%25DF.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA0MjhfNiAg%2FMDAxNjgyNjg3MzIxMjc5.POfOOn8R0BvRlfv88ux4E6JvhbNGjHrZ4n_pRQnBq0Mg.rrg7uDkHS3GwvZ-zpqgHMEvEnHPASuDhhGoLAze3_3wg.JPEG%2FD6C0C205-B966-4809-A351-76CAB1A9EA88.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAzMTdfNjUg%2FMDAxNjc5MDE0ODE2OTQ5.qj0ustx0yP0rxY3E1pH07pao6E1pusfZ5xhMHhtehuUg.MJOsVGwcUpxC46AHWysbFpvJElD1p4SL4rWUGl_fiMIg.JPEG%2FA09086E2-FA0E-4EDD-9767-7A34A3E587B8.jpeg""]","{""목"": [""09:00 - 20:00""], ""금"": [""09:00 - 20:00""], ""토"": [""09:00 - 20:00""], ""일"": [""09:00 - 20:00""], ""월"": [""09:00 - 20:00""], ""화"": [""09:00 - 20:00""], ""수"": [""09:00 - 20:00"", ""접기"", ""영업시간 수정 제안하기""]}","[""슈가 붕어빵 3200"", ""두바이 초코 붕어빵 12000"", ""바닐라 크림 붕어빵 3900"", ""초코 크림 붕어빵 3900""]"
논현역 카페,마르케,"카페,디저트",서울 강남구 강남대로124길 5 1층 마르케,논현동 143-23,06114,4.6,37.5064799,127.030186,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191007_182%2F1570447387468w3RsX_JPEG%2Fq_WwZTb9_IMKI5kehG4iyQzk.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200917_276%2F160031408199194tEk_JPEG%2FN1p4IBTF9PCO23BJOecqKk-5.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200917_53%2F1600314082038Vspcv_JPEG%2FbxU-bN09h2DfrKZriCtyzfcP.jpg""]","{""목"": [""09:00 - 20:00""], ""금"": [""09:00 - 20:00""], ""토"": [""09:00 - 20:00""], ""일"": [""09:00 - 20:00""], ""월"": [""09:00 - 20:00""], ""화"": [""09:00 - 20:00""], ""수"": [""09:00 - 20:00"", ""접기"", ""영업시간 수정 제안하기""]}","[""테린느N 6800원"", ""옥수수 바스크 치즈케이크N 9000원"", ""화이트 밀크 롤케이크N 6800원"", ""피넛버터 크럼블 르뱅쿠키N 4800원""]"
논현역 카페,수목금토 카페,"카페,디저트",서울 강남구 강남대로136길 63 수목금토 1층,논현동 25-6,06042,4.55,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171212_187%2F1513062837109nO7ys_JPEG%2FCZ8gcHURlzUpevHepaMe4-pD.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171212_58%2F1513062865525nX0iz_JPEG%2F5G79k19oETnuyKhiu4Wk8qmj.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171212_55%2F1513062846042Brzr2_JPEG%2F4I5iLipptMn1CzPHj_Nsl5KI.jpg""]","{""목"": [""09:00 - 19:00""], ""금"": [""09:00 - 21:30""], ""토"": [""09:00 - 21:30""], ""일"": [""09:00 - 21:30""], ""월"": [""09:00 - 19:00""], ""화"": [""09:00 - 19:00""], ""수"": [""09:00 - 19:00"", ""- 금,토,일은 라스트오더 9PM 입니다"", ""접기"", ""영업시간 수정 제안하기""]}",[]
논현역 카페,디끌레,"카페,디저트",서울 서초구 신반포로42길 11 1층 101호,반포동 703-19,06534,0.0,37.50312,127.0014,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211219_160%2F163987785962859kpa_JPEG%2F%25B5%25F0%25B2%25F8%25B7%25B91-%25B0%25A1%25B7%25CE%25C7%25FC-jpg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211219_41%2F1639877695566ireL1_JPEG%2FKakaoTalk_20211217_144714199_01.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211219_195%2F1639877782519syxPA_JPEG%2FKakaoTalk_20211218_202240699.jpg""]","{""목"": [""10:00 - 20:00""], ""금"": [""10:00 - 20:00""], ""토"": [""10:00 - 20:00""], ""일"": [""정기휴무 (매주 일요일)""], ""월"": [""10:00 - 20:00""], ""화"": [""10:00 - 20:00""], ""수"": [""10:00 - 20:00"", ""- 7월29일 ~8월4일 여름휴무"", ""접기"", ""영업시간 수정 제안하기""]}","[""무화과프레지에 9200"", ""커피밀푀유 9200"", ""타르트타탕 9000"", ""카시스몽블랑 4900""]"
논현역 카페,댕크,"카페,디저트",서울 서초구 사평대로57길 96 1층 댕크,반포동 722-36,06536,0.0,37.50312,127.0014,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231120_287%2F17004814733768DneY_JPEG%2FKakaoTalk_20231120_205521980.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231120_203%2F1700481208958IV2H3_JPEG%2F%25C8%25D6%25B1%25EE%25B4%25DA.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231203_136%2F1701601593322f2cyN_JPEG%2FKakaoTalk_20231203_195739680.jpg""]","{""대체 정보"": ""매일\n07:00 - 24:00\n23:50 라스트오더""}","[""아메리카노 3300"", ""NEW 레몬 마들렌 3200"", ""츄러스 까눌레 3800"", ""리치 바닐라라떼 4500""]"
논현역 카페,어딕티브,"카페,디저트",서울 서초구 주흥15길 5 102호,반포동 711-24,06533,4.72,37.50312,127.0014,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231101_213%2F1698779394147EDQiP_JPEG%2Fscaled_Screenshot_20211027-184908_Instagram.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240724_291%2F1721822574012yLJKr_JPEG%2FScreenshot_20240225_122714_Instagram.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240724_242%2F1721822500674pY09C_JPEG%2F1713357875662.jpg""]","{""목"": [""12:00 - 21:00"", ""20:50 라스트오더""], ""금"": [""12:00 - 21:00"", ""20:50 라스트오더""], ""토"": [""12:00 - 21:00"", ""20:50 라스트오더""], ""일"": [""12:00 - 17:00"", ""16:50 라스트오더""], ""월"": [""정기휴무 (매주 월요일)""], ""화"": [""12:00 - 21:00"", ""20:50 라스트오더""], ""수"": [""12:00 - 21:00"", ""20:50 라스트오더"", ""- 매주 월요일은 휴무 입니다:)"", ""접기"", ""영업시간 수정 제안하기""]}","[""핸드드립커피 6000"", ""브라운 슈패너 4500"", ""카페 라떼 5000"", ""꿀꺽 12000""]"
논현역 카페,투썸플레이스 논현역사거리점,카페,서울 강남구 강남대로 548 건우빌딩 1층,논현동 120,06110,4.46,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220819_220%2F1660908970086qa9X1_JPEG%2F%25C5%25F5%25BD%25E6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BF%25A5%25BA%25ED%25B7%25BD.JPG"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190928_198%2F1569666358690cbTrd_JPEG%2FqQIFRMP4Q09FB0tXXGIOWY5e.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190928_186%2F15696663712778lkdj_JPEG%2F850Ap19Mzj3THBaKCJNsJO0E.jpg""]","{""목"": [""12:00 - 21:00"", ""20:50 라스트오더""], ""금"": [""12:00 - 21:00"", ""20:50 라스트오더""], ""토"": [""12:00 - 21:00"", ""20:50 라스트오더""], ""일"": [""12:00 - 17:00"", ""16:50 라스트오더""], ""월"": [""정기휴무 (매주 월요일)""], ""화"": [""12:00 - 21:00"", ""20:50 라스트오더""], ""수"": [""12:00 - 21:00"", ""20:50 라스트오더"", ""- 매주 월요일은 휴무 입니다:)"", ""접기"", ""영업시간 수정 제안하기""]}","[""윈터뱅쇼R 매우우수"", ""TWG카모마일유자티R 6500"", ""파베초콜릿케이크 6500"", ""떠먹는 로투스 비스코프 아박 38000""]"
논현역 카페,테오브로마 쇼콜라티에,초콜릿전문점,서울 서초구 신반포로43길 23-18 2층,잠원동 44-13,06529,0.0,37.518254400000004,127.01240284968915,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240203_285%2F1706930102181BMUWr_JPEG%2F%25B5%25F0%25C0%25DA%25C0%25CE%25BD%25BA%25C5%25B8_350.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240217_204%2F1708153636002XsS7H_JPEG%2FIMG_6453.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230811_191%2F1691729657855LIy22_JPEG%2F23-08-11-13-52-32-874_deco.jpg""]","{""목"": [""09:00 - 18:00""], ""금"": [""09:00 - 18:00"", ""토(11/9)"", ""10:00 - 18:00"", ""일(11/10)"", ""10:00 - 18:00"", ""월(11/11)"", ""09:00 - 20:00"", ""화(11/12)"", ""09:00 - 20:00"", ""수(11/13)"", ""09:00 - 20:00"", ""- 예약하고 방문 픽업해주세요~"", ""접기"", ""영업시간 수정 제안하기""]}","[""가나슈 초콜릿 12구 48000"", ""에스프레소 초콜릿 12구 38000"", ""골프공 초콜릿 4구 15000"", ""축구공 초콜릿 4구 15000""]"
논현역 카페,파퓰러커피로스터스,"카페,디저트","서울 강남구 강남대로128길 69 1층,2층",논현동 125-8,06111,4.74,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240604_269%2F1717479321940rt9xy_JPEG%2FIMG_3241.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240604_16%2F1717465292107xA6oj_JPEG%2FIMG_3013.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240608_50%2F1717789423226T9WyO_JPEG%2FIMG_0995.jpeg""]","{""목"": [""08:30 - 19:00""], ""금"": [""08:30 - 19:00""], ""토"": [""11:00 - 19:00""], ""일"": [""정기휴무 (매주 일요일)""], ""월"": [""08:30 - 19:00""], ""화"": [""08:30 - 19:00""], ""수"": [""08:30 - 19:00"", ""접기"", ""영업시간 수정 제안하기""]}","[""아메리카노 4000"", ""에스프레소 그라니따 4500"", ""카푸치노 5500"", ""필터커피 3800""]"
논현역 카페,심재 논현,"카페,디저트",서울 서초구 강남대로 545-15 1층,반포동 708-1,06535,0.0,37.50312,127.0014,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20240925_150%2F1727220047117o5Lnz_JPEG%2FHqB7eCYbAI_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240628_67%2F1719560023711X3dU2_JPEG%2FKakaoTalk_20240628_162721663_16.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240628_233%2F17195600123682zrIj_JPEG%2FKakaoTalk_20240628_162721663_03.jpg""]","{""목"": [""08:30 - 19:00""], ""금"": [""08:30 - 19:00""], ""토"": [""11:00 - 19:00""], ""일"": [""정기휴무 (매주 일요일)""], ""월"": [""08:30 - 19:00""], ""화"": [""08:30 - 19:00""], ""수"": [""08:30 - 19:00"", ""접기"", ""영업시간 수정 제안하기""]}","[""귀리 크림 라떼 6500"", ""화이트 도피오 6500"", ""호지차 라떼 6000"", ""얼그레이 갸또 7800""]"
